epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.293,1.55166,2.3367,1.45728,0.66908,0.40886,0.41313,0.22468,1.47617,1.03057,1.29708,0.00333169,0.00333169,0.00333169
2,1043.79,1.4268,1.07432,1.34333,0.81144,0.30284,0.34737,0.17428,1.63038,1.15477,1.37952,0.00653306,0.00653306,0.00653306
3,1530.26,1.44687,1.10773,1.36786,0.63228,0.35847,0.35223,0.17508,1.56782,1.11769,1.3877,0.00960243,0.00960243,0.00960243
4,1976.96,1.45727,1.11272,1.38844,0.8032,0.31126,0.39487,0.21065,1.48176,1.03066,1.33099,0.009406,0.009406,0.009406
5,2450.42,1.42468,1.0344,1.36955,0.65922,0.44886,0.43751,0.22862,1.46332,0.92639,1.32579,0.009208,0.009208,0.009208
6,2928.23,1.39618,0.97764,1.34734,0.73818,0.45178,0.47185,0.25216,1.39156,0.91277,1.27444,0.00901,0.00901,0.00901
7,3394.64,1.36845,0.94046,1.33326,0.7291,0.48345,0.51517,0.2788,1.41315,0.84097,1.28105,0.008812,0.008812,0.008812
8,3866.66,1.34432,0.90365,1.31803,0.71854,0.50264,0.51237,0.2782,1.36329,0.8086,1.2789,0.008614,0.008614,0.008614
9,4341.95,1.33161,0.8774,1.30863,0.64607,0.50728,0.52185,0.27915,1.37636,0.81447,1.26227,0.008416,0.008416,0.008416
10,4830.47,1.32203,0.86102,1.30211,0.572,0.51626,0.52461,0.29942,1.33561,0.76801,1.24122,0.008218,0.008218,0.008218
11,5308.42,1.30801,0.83605,1.29266,0.77857,0.47275,0.50378,0.28859,1.36692,0.79927,1.25162,0.00802,0.00802,0.00802
12,5772.46,1.29939,0.81892,1.28081,0.51209,0.51127,0.51536,0.29251,1.33402,0.79537,1.23541,0.007822,0.007822,0.007822
13,6237.24,1.2932,0.80746,1.27834,0.46434,0.5383,0.53561,0.30799,1.32032,0.76664,1.2308,0.007624,0.007624,0.007624
14,6699.21,1.28377,0.7935,1.2747,0.53144,0.51007,0.54584,0.30787,1.31369,0.72496,1.22536,0.007426,0.007426,0.007426
15,7165.52,1.27442,0.78239,1.2684,0.774,0.56564,0.59417,0.33773,1.29782,0.69945,1.21618,0.007228,0.007228,0.007228
16,7624.62,1.27085,0.77609,1.26382,0.51924,0.58914,0.55154,0.32002,1.29278,0.69622,1.21226,0.00703,0.00703,0.00703
17,8090.05,1.26207,0.76064,1.25987,0.6119,0.55404,0.56777,0.33594,1.2843,0.67801,1.20378,0.006832,0.006832,0.006832
18,8554.34,1.25763,0.75298,1.25299,0.52339,0.5744,0.58153,0.33595,1.29183,0.69134,1.21126,0.006634,0.006634,0.006634
19,9018.3,1.2543,0.73939,1.25154,0.6591,0.54954,0.57697,0.33313,1.28743,0.67071,1.20734,0.006436,0.006436,0.006436
20,9477.37,1.24124,0.72882,1.24358,0.68489,0.64756,0.62395,0.37013,1.25743,0.64603,1.19453,0.006238,0.006238,0.006238
21,9947.4,1.23966,0.71662,1.24293,0.63733,0.60125,0.62611,0.37198,1.27658,0.63656,1.19903,0.00604,0.00604,0.00604
22,10408.7,1.2348,0.70991,1.23769,0.69213,0.59941,0.63102,0.37048,1.2675,0.63691,1.19205,0.005842,0.005842,0.005842
23,10869.2,1.22401,0.69865,1.2341,0.68486,0.61488,0.62877,0.36945,1.26411,0.6206,1.19304,0.005644,0.005644,0.005644
24,11331,1.21614,0.6925,1.22607,0.64923,0.61664,0.63796,0.37248,1.25614,0.62929,1.18716,0.005446,0.005446,0.005446
25,11790.8,1.2116,0.69016,1.2217,0.54773,0.65925,0.63751,0.37437,1.25474,0.61476,1.18585,0.005248,0.005248,0.005248
26,12253.2,1.20817,0.68004,1.2152,0.70112,0.56921,0.64481,0.37767,1.25513,0.60986,1.18388,0.00505,0.00505,0.00505
27,12714.1,1.20279,0.66579,1.21481,0.6546,0.65749,0.65653,0.39497,1.24189,0.604,1.17955,0.004852,0.004852,0.004852
28,13174.2,1.19783,0.66258,1.21437,0.66807,0.63243,0.64915,0.39407,1.23899,0.59529,1.17924,0.004654,0.004654,0.004654
29,13639.9,1.1962,0.65443,1.21006,0.69401,0.64502,0.65929,0.38976,1.24467,0.59295,1.17675,0.004456,0.004456,0.004456
30,14100.5,1.18405,0.64779,1.20598,0.69615,0.65451,0.67449,0.39921,1.25126,0.58891,1.18396,0.004258,0.004258,0.004258
31,14561,1.17644,0.63606,1.19773,0.7071,0.64011,0.66988,0.40483,1.24476,0.58506,1.17972,0.00406,0.00406,0.00406
32,15021.7,1.17344,0.63074,1.19813,0.67645,0.67523,0.67877,0.41013,1.24576,0.58179,1.17921,0.003862,0.003862,0.003862
33,15490.9,1.17196,0.62359,1.19682,0.77132,0.62803,0.688,0.41562,1.2404,0.57844,1.17685,0.003664,0.003664,0.003664
34,15949.5,1.15989,0.61016,1.18563,0.71515,0.67488,0.68937,0.41938,1.24463,0.57597,1.17942,0.003466,0.003466,0.003466
35,16413.8,1.15777,0.60701,1.18736,0.70393,0.65551,0.68344,0.41903,1.24857,0.5715,1.17847,0.003268,0.003268,0.003268
36,16876,1.14877,0.60189,1.18482,0.717,0.65733,0.68519,0.42167,1.24177,0.56793,1.17706,0.00307,0.00307,0.00307
37,17337.7,1.14361,0.5911,1.17877,0.71016,0.66409,0.68815,0.42646,1.24161,0.5637,1.17914,0.002872,0.002872,0.002872
