epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.706,1.7182,1.9131,1.69896,0.77543,0.21827,0.20693,0.09939,1.72486,1.85515,1.66566,0.0700148,0.00333169,0.00333169
2,935.376,1.59592,1.44532,1.62239,0.82554,0.21563,0.26258,0.13566,1.56397,1.21915,1.50947,0.0398828,0.00653306,0.00653306
3,1396,1.53491,1.29627,1.58066,0.55633,0.32034,0.28177,0.13774,1.63737,1.24033,1.56679,0.00961882,0.00960243,0.00960243
4,1837.9,1.49172,1.20476,1.54189,0.71373,0.33378,0.30582,0.1635,1.48855,1.04134,1.46411,0.009406,0.009406,0.009406
5,2288.48,1.46117,1.1471,1.52613,0.71474,0.29394,0.26898,0.13385,1.6621,1.2438,1.57585,0.009208,0.009208,0.009208
6,2761.64,1.42631,1.0843,1.50162,0.89347,0.31996,0.34936,0.17634,1.47727,1.01462,1.4513,0.00901,0.00901,0.00901
7,3225.03,1.41416,1.05444,1.49016,0.77122,0.34228,0.3476,0.17136,1.52252,0.97453,1.47626,0.008812,0.008812,0.008812
8,3687.03,1.39295,1.01994,1.47713,0.63582,0.41561,0.36646,0.18574,1.44423,0.94119,1.42702,0.008614,0.008614,0.008614
9,4145.44,1.378,0.99026,1.4642,0.62608,0.41033,0.37971,0.19689,1.41685,0.90674,1.40968,0.008416,0.008416,0.008416
10,4599.45,1.37469,0.97664,1.46949,0.92277,0.31806,0.39738,0.19701,1.42431,0.88467,1.42458,0.008218,0.008218,0.008218
11,5043.67,1.36046,0.94478,1.45082,0.67308,0.43869,0.42049,0.21386,1.42121,0.86348,1.42042,0.00802,0.00802,0.00802
12,5492.72,1.34584,0.92764,1.44202,0.58037,0.45845,0.4271,0.21808,1.39592,0.84642,1.40188,0.007822,0.007822,0.007822
13,5959.08,1.34331,0.91154,1.44224,0.4935,0.43225,0.4037,0.21217,1.40379,0.89896,1.40839,0.007624,0.007624,0.007624
14,6432.83,1.33701,0.8965,1.43964,0.69839,0.4221,0.43294,0.22501,1.3676,0.81441,1.39421,0.007426,0.007426,0.007426
15,6908.18,1.32476,0.87729,1.42883,0.5305,0.43402,0.42234,0.22318,1.36391,0.81292,1.3913,0.007228,0.007228,0.007228
16,7382.33,1.31756,0.86607,1.42285,0.52084,0.45388,0.43954,0.22802,1.3664,0.79519,1.39519,0.00703,0.00703,0.00703
17,7857.27,1.31091,0.86166,1.42693,0.54775,0.47244,0.4693,0.24113,1.34848,0.77553,1.39191,0.006832,0.006832,0.006832
18,8326.85,1.30398,0.84904,1.4172,0.6969,0.52343,0.48547,0.25162,1.33038,0.7582,1.36804,0.006634,0.006634,0.006634
19,8794.63,1.29964,0.82875,1.41587,0.70843,0.46447,0.47211,0.24323,1.34383,0.74275,1.38642,0.006436,0.006436,0.006436
20,9253.29,1.29105,0.82241,1.41033,0.64233,0.5242,0.50002,0.26038,1.32852,0.71946,1.36647,0.006238,0.006238,0.006238
21,9704.68,1.28876,0.80908,1.40369,0.55717,0.53338,0.47975,0.25388,1.33172,0.7142,1.36467,0.00604,0.00604,0.00604
22,10154.7,1.27568,0.80091,1.39466,0.76422,0.50173,0.52774,0.27695,1.31085,0.71028,1.35708,0.005842,0.005842,0.005842
23,10607,1.26685,0.78855,1.38853,0.75077,0.49975,0.5214,0.27091,1.30948,0.69935,1.35354,0.005644,0.005644,0.005644
24,11058.1,1.25926,0.77853,1.38282,0.7297,0.52835,0.519,0.27112,1.30553,0.70733,1.35167,0.005446,0.005446,0.005446
25,11508.9,1.25711,0.77697,1.38117,0.64907,0.53802,0.54483,0.2856,1.29504,0.6824,1.34435,0.005248,0.005248,0.005248
26,11959.7,1.25491,0.76128,1.37655,0.5992,0.52877,0.54594,0.28657,1.29881,0.68061,1.34779,0.00505,0.00505,0.00505
27,12413.7,1.25285,0.75147,1.3794,0.69127,0.54253,0.55248,0.28763,1.29818,0.67096,1.34953,0.004852,0.004852,0.004852
28,12870.3,1.25067,0.74349,1.37727,0.63882,0.52052,0.56768,0.29685,1.29405,0.66188,1.34628,0.004654,0.004654,0.004654
29,13322.6,1.24615,0.74066,1.37205,0.6494,0.5478,0.55222,0.29722,1.28801,0.66303,1.33867,0.004456,0.004456,0.004456
30,13773,1.22974,0.73012,1.36151,0.63578,0.54968,0.56839,0.30697,1.28965,0.66051,1.33988,0.004258,0.004258,0.004258
31,14221.9,nan,nan,nan,0.51913,0.55697,0.53816,0.28575,nan,nan,nan,0.00406,0.00406,0.00406
