epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.505,1.56172,1.52165,1.48104,0.60395,0.25463,0.26467,0.13999,1.56757,1.34947,1.44193,0.0683489,0.00166585,0.00166585
2,1249.09,1.48015,1.22425,1.44023,0.76704,0.29732,0.30131,0.15361,1.54903,1.11081,1.42999,0.0366163,0.00326653,0.00326653
3,1835.29,1.43183,1.12873,1.40787,0.72713,0.31116,0.31864,0.1563,1.61469,1.059,1.47783,0.00481761,0.00480121,0.00480121
4,2419.83,1.39312,1.06933,1.38938,0.74549,0.33506,0.35715,0.1875,1.43092,0.95096,1.39191,0.004703,0.004703,0.004703
5,3004.48,1.35845,1.00622,1.36094,0.70096,0.378,0.40237,0.20116,1.44647,0.90699,1.3843,0.004604,0.004604,0.004604
6,3590.4,1.33789,0.96714,1.34771,0.56157,0.43038,0.42844,0.21229,1.40678,0.83542,1.36312,0.004505,0.004505,0.004505
7,4175.88,1.32127,0.93295,1.3409,0.8079,0.38334,0.39446,0.20326,1.39932,0.88576,1.34804,0.004406,0.004406,0.004406
8,4760.26,1.30835,0.91608,1.33171,0.80277,0.41419,0.45038,0.23331,1.37506,0.77941,1.33475,0.004307,0.004307,0.004307
9,5345.73,1.30676,0.91173,1.32938,0.74826,0.42285,0.44877,0.22522,1.38463,0.80905,1.34332,0.004208,0.004208,0.004208
10,5930.23,1.29584,0.89962,1.32296,0.74966,0.49625,0.515,0.27104,1.33211,0.76796,1.30636,0.004109,0.004109,0.004109
11,6515.87,1.28427,0.86461,1.31691,0.72416,0.44375,0.48197,0.25665,1.31832,0.74346,1.31538,0.00401,0.00401,0.00401
12,7100.38,1.27511,0.85472,1.3023,0.5629,0.53586,0.50316,0.26632,1.32119,0.73096,1.29898,0.003911,0.003911,0.003911
13,7685.65,1.265,0.83554,1.30409,0.59086,0.54559,0.52483,0.2781,1.31042,0.71435,1.30488,0.003812,0.003812,0.003812
14,8270.17,1.259,0.82517,1.29518,0.44377,0.50891,0.53459,0.28528,1.28511,0.71145,1.28266,0.003713,0.003713,0.003713
15,8853.61,1.24867,0.8093,1.29268,0.66441,0.48532,0.53907,0.28088,1.30305,0.72594,1.2983,0.003614,0.003614,0.003614
16,9437.36,1.24982,0.80841,1.29328,0.66678,0.50135,0.55028,0.28967,1.27865,0.70161,1.2807,0.003515,0.003515,0.003515
17,10021.3,1.23895,0.79369,1.2875,0.78826,0.50993,0.56447,0.30981,1.27953,0.68466,1.28141,0.003416,0.003416,0.003416
18,10605.8,1.23582,0.78051,1.27964,0.61294,0.53781,0.55554,0.30201,1.27075,0.67699,1.27677,0.003317,0.003317,0.003317
19,11189.9,1.22646,0.77417,1.27577,0.5554,0.59136,0.59453,0.33025,1.25784,0.66249,1.2595,0.003218,0.003218,0.003218
20,11773.2,1.21867,0.76351,1.26642,0.61755,0.57888,0.60119,0.33273,1.26908,0.65736,1.27347,0.003119,0.003119,0.003119
21,12356.5,1.21638,0.75974,1.27039,0.63745,0.59145,0.61025,0.34028,1.26111,0.6512,1.2686,0.00302,0.00302,0.00302
22,12940.5,1.2142,0.75434,1.26509,0.57711,0.60689,0.60156,0.33799,1.25057,0.64365,1.25686,0.002921,0.002921,0.002921
23,13523.8,1.20858,0.74355,1.25867,0.55913,0.57072,0.61816,0.34912,1.25774,0.63015,1.26325,0.002822,0.002822,0.002822
24,14108.1,1.20418,0.73615,1.26337,0.57417,0.58219,0.62449,0.35288,1.25043,0.63122,1.26063,0.002723,0.002723,0.002723
25,14692.1,1.19606,0.72758,1.25438,0.55314,0.60319,0.61573,0.34454,1.25341,0.6314,1.26219,0.002624,0.002624,0.002624
26,15276.4,1.19563,0.72158,1.25314,0.59583,0.6422,0.63296,0.36553,1.24441,0.62687,1.2591,0.002525,0.002525,0.002525
27,15860.3,1.18588,0.71171,1.24877,0.61407,0.64787,0.63147,0.36283,1.24647,0.61426,1.25323,0.002426,0.002426,0.002426
28,16443.6,1.1833,0.706,1.24363,0.59007,0.65758,0.64424,0.37158,1.24064,0.61,1.2503,0.002327,0.002327,0.002327
29,17027.2,1.17885,0.69535,1.2391,0.61085,0.62258,0.64132,0.37154,1.24731,0.60919,1.2591,0.002228,0.002228,0.002228
30,17614.4,1.17535,0.69471,1.23996,0.67517,0.61102,0.64665,0.37314,1.24304,0.60577,1.25515,0.002129,0.002129,0.002129
31,18199.3,1.16824,0.68416,1.23398,0.64899,0.626,0.65219,0.37114,1.23666,0.59897,1.25187,0.00203,0.00203,0.00203
32,18783.1,1.16548,0.68047,1.23182,0.61469,0.64193,0.64895,0.37711,1.23892,0.59624,1.25061,0.001931,0.001931,0.001931
33,19367.3,1.16105,0.67649,1.22628,0.65683,0.62205,0.65208,0.38046,1.23655,0.59284,1.24967,0.001832,0.001832,0.001832
34,19952,1.15874,0.66771,1.23054,0.61864,0.65781,0.65352,0.38597,1.23173,0.59386,1.24955,0.001733,0.001733,0.001733
