epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.216,1.67095,1.78616,1.58576,0.70658,0.2332,0.22637,0.11689,1.72273,1.42318,1.52091,0.0683489,0.00166585,0.00166585
2,1037.62,1.57239,1.34127,1.51329,0.52948,0.25547,0.25004,0.12765,1.64176,1.23871,1.50015,0.0365723,0.00322254,0.00322254
3,1533.75,1.52494,1.24313,1.48986,0.59458,0.30109,0.27401,0.14349,1.55653,1.18659,1.42335,0.00468563,0.00466923,0.00466923
4,2016.88,1.48443,1.15522,1.46182,0.61565,0.32265,0.32146,0.17453,1.48148,1.03355,1.39355,0.004505,0.004505,0.004505
5,2502.32,1.44249,1.08117,1.43087,0.58995,0.33294,0.26583,0.14135,1.5995,1.16984,1.45405,0.00434,0.00434,0.00434
6,2955.88,1.42358,1.03914,1.41972,0.77292,0.33806,0.33494,0.17494,1.4543,0.98152,1.35687,0.004175,0.004175,0.004175
7,3391.71,1.39734,0.99704,1.40044,0.66823,0.40399,0.38094,0.19658,1.46826,0.92314,1.35544,0.00401,0.00401,0.00401
8,3833.65,1.37264,0.96254,1.38143,0.67304,0.41299,0.42105,0.21413,1.4214,0.89573,1.34058,0.003845,0.003845,0.003845
9,4292.5,1.35959,0.93827,1.37043,0.65254,0.46968,0.41866,0.21617,1.393,0.84106,1.31561,0.00368,0.00368,0.00368
10,4739.45,1.3538,0.91868,1.36984,0.74969,0.38341,0.38637,0.20341,1.42184,0.93175,1.34512,0.003515,0.003515,0.003515
11,5241.12,1.34091,0.89914,1.35752,0.93331,0.32248,0.42692,0.22354,1.38996,0.85202,1.31771,0.00335,0.00335,0.00335
12,5735.83,1.32525,0.87534,1.35214,0.63545,0.46315,0.4299,0.23104,1.33674,0.80413,1.29289,0.003185,0.003185,0.003185
13,6227.28,1.31282,0.85595,1.34013,0.5094,0.50085,0.45778,0.2385,1.349,0.79125,1.28218,0.00302,0.00302,0.00302
14,6707.99,1.30509,0.8444,1.33398,0.54623,0.51117,0.45666,0.2447,1.33654,0.75556,1.28878,0.002855,0.002855,0.002855
15,7181.08,1.29872,0.82311,1.33005,0.59405,0.51573,0.48299,0.25623,1.32005,0.7477,1.27916,0.00269,0.00269,0.00269
16,7671.77,1.29757,0.81666,1.33081,0.54574,0.48712,0.47725,0.24427,1.33124,0.75278,1.28835,0.002525,0.002525,0.002525
17,8150.51,1.27953,0.79643,1.32201,0.52968,0.49699,0.49074,0.26452,1.3146,0.72463,1.27408,0.00236,0.00236,0.00236
18,8615.38,1.27138,0.78418,1.31405,0.56124,0.50977,0.51062,0.27235,1.31871,0.72403,1.28236,0.002195,0.002195,0.002195
19,9087.67,1.26685,0.76908,1.30924,0.58451,0.50132,0.5319,0.28362,1.30871,0.70305,1.26676,0.00203,0.00203,0.00203
20,9616.17,1.25374,0.76207,1.30083,0.60799,0.5521,0.53214,0.28792,1.29606,0.68902,1.25788,0.001865,0.001865,0.001865
21,10169.1,1.24415,0.74276,1.29219,0.46879,0.53163,0.54197,0.29129,1.29815,0.66986,1.2603,0.0017,0.0017,0.0017
22,10649.8,1.23762,0.73062,1.28476,0.49808,0.56753,0.53912,0.30161,1.28582,0.66684,1.257,0.001535,0.001535,0.001535
23,11137.4,1.22661,0.71636,1.28162,0.50289,0.57867,0.54366,0.3049,1.2819,0.65716,1.25374,0.00137,0.00137,0.00137
24,11593,1.22292,0.70641,1.27632,0.52059,0.60061,0.57345,0.30914,1.29418,0.65776,1.25395,0.001205,0.001205,0.001205
25,12031.2,1.21539,0.69584,1.26888,0.5195,0.58682,0.56619,0.30927,1.27609,0.6489,1.24607,0.00104,0.00104,0.00104
26,12476.9,1.20447,0.68658,1.26866,0.58218,0.57196,0.58729,0.31863,1.27671,0.64243,1.24909,0.000875,0.000875,0.000875
27,12936.3,1.19492,0.67206,1.26084,0.5456,0.61146,0.58825,0.32095,1.27129,0.63777,1.24522,0.00071,0.00071,0.00071
28,13381.8,1.18772,0.66581,1.25504,0.55326,0.583,0.6018,0.33282,1.27456,0.62891,1.2464,0.000545,0.000545,0.000545
29,13818.3,1.17807,0.65435,1.25134,0.53172,0.61648,0.59586,0.32964,1.2688,0.6241,1.24102,0.00038,0.00038,0.00038
30,14272.1,1.17514,0.64181,1.24737,0.5722,0.6085,0.59984,0.32851,1.26876,0.62254,1.24124,0.000215,0.000215,0.000215
