epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,919.704,1.51004,1.77252,1.38536,0.8218,0.36598,0.39854,0.21268,1.42108,0.89491,1.2694,0.0683411,0.00166626,0.00166626
2,1840.69,1.34364,0.99547,1.26219,0.74578,0.46234,0.47323,0.26695,1.37407,0.81515,1.23053,0.0366085,0.00326693,0.00326693
3,2722.48,1.33794,0.97504,1.25342,0.55011,0.50763,0.48516,0.24671,1.39251,0.83835,1.24267,0.0048098,0.00480161,0.00480161
4,3493.7,1.33764,0.96087,1.25307,0.45502,0.45904,0.47199,0.26897,1.41593,0.8304,1.26522,0.004703,0.004703,0.004703
5,4259.26,1.31313,0.91573,1.23837,0.71746,0.54451,0.55192,0.30249,1.33562,0.76776,1.22223,0.004604,0.004604,0.004604
6,5028.91,1.29776,0.88231,1.23101,0.76814,0.4945,0.54085,0.29622,1.33524,0.74956,1.22387,0.004505,0.004505,0.004505
7,5805.93,1.2796,0.8588,1.2213,0.58401,0.57718,0.56664,0.32629,1.28175,0.70718,1.19361,0.004406,0.004406,0.004406
8,6583.56,1.26921,0.8422,1.21347,0.80317,0.55107,0.58221,0.34063,1.28513,0.7141,1.19146,0.004307,0.004307,0.004307
9,7374.69,1.25572,0.81786,1.207,0.70549,0.52333,0.56884,0.32859,1.27625,0.69511,1.18517,0.004208,0.004208,0.004208
10,8148.52,1.25025,0.80971,1.20395,0.66375,0.5801,0.59107,0.34809,1.26542,0.6793,1.18306,0.004109,0.004109,0.004109
11,8926.37,1.2381,0.79213,1.19628,0.54244,0.56316,0.58795,0.34752,1.25688,0.67054,1.17315,0.00401,0.00401,0.00401
12,9707.07,1.22986,0.78148,1.19083,0.67611,0.59506,0.61142,0.35269,1.25504,0.66229,1.18212,0.003911,0.003911,0.003911
13,10488.4,1.21602,0.76654,1.18428,0.64035,0.5913,0.594,0.35199,1.25296,0.65057,1.17015,0.003812,0.003812,0.003812
14,11283.3,1.22182,0.75881,1.18302,0.69222,0.57165,0.59552,0.35595,1.24276,0.65386,1.16568,0.003713,0.003713,0.003713
15,12068.7,1.20941,0.74814,1.17703,0.58429,0.65386,0.62139,0.36612,1.25508,0.62503,1.1665,0.003614,0.003614,0.003614
16,12855.7,1.20648,0.74067,1.17352,0.58816,0.61076,0.6072,0.37043,1.23802,0.62463,1.15744,0.003515,0.003515,0.003515
17,13640.9,1.20141,0.73206,1.17475,0.62438,0.65546,0.64549,0.38804,1.243,0.60915,1.16341,0.003416,0.003416,0.003416
18,14424.8,1.19212,0.72508,1.16898,0.69986,0.56353,0.6386,0.38268,1.23627,0.60483,1.15721,0.003317,0.003317,0.003317
19,15219.6,1.18933,0.71554,1.16753,0.67557,0.6201,0.65733,0.40168,1.23688,0.59291,1.15926,0.003218,0.003218,0.003218
20,16013.7,1.18125,0.70526,1.16193,0.67654,0.62208,0.6546,0.39186,1.22139,0.59577,1.15517,0.003119,0.003119,0.003119
21,16816.8,1.17688,0.69978,1.16154,0.61793,0.67475,0.65472,0.39876,1.21527,0.59376,1.15214,0.00302,0.00302,0.00302
22,17607.7,1.17546,0.6957,1.16145,0.64019,0.67061,0.67235,0.41311,1.21323,0.58192,1.14879,0.002921,0.002921,0.002921
23,18375.5,1.16983,0.68934,1.15625,0.61673,0.68418,0.67724,0.41466,1.22287,0.57539,1.15098,0.002822,0.002822,0.002822
24,19135.1,1.16605,0.68131,1.15386,0.61928,0.67857,0.6772,0.42059,1.21288,0.5749,1.14918,0.002723,0.002723,0.002723
25,19897.2,1.16148,0.67986,1.15373,0.66126,0.71323,0.6958,0.42879,1.21592,0.57448,1.14482,0.002624,0.002624,0.002624
26,20657.5,1.15622,0.6678,1.14626,0.65008,0.67759,0.68565,0.42628,1.21245,0.57187,1.14305,0.002525,0.002525,0.002525
27,21420.7,1.14733,0.65818,1.14223,0.72872,0.66913,0.69487,0.43526,1.21313,0.5586,1.14628,0.002426,0.002426,0.002426
28,22181.6,1.14412,0.65788,1.14463,0.6796,0.69739,0.68892,0.4296,1.2147,0.56101,1.14696,0.002327,0.002327,0.002327
29,22949.9,1.13932,0.65437,1.14285,0.69078,0.6985,0.69549,0.4296,1.20849,0.55987,1.14623,0.002228,0.002228,0.002228
30,23728,1.13172,0.64394,1.1348,0.73594,0.66224,0.69589,0.43447,1.2088,0.55593,1.14544,0.002129,0.002129,0.002129
31,24549.7,1.1295,0.63667,1.13537,0.71357,0.68484,0.70274,0.43397,1.20929,0.54877,1.14524,0.00203,0.00203,0.00203
32,25331.2,1.13033,0.6431,1.13765,0.68413,0.67625,0.68856,0.42888,1.21318,0.55356,1.14623,0.001931,0.001931,0.001931
33,26115.7,1.12084,0.62885,1.12941,0.70717,0.68788,0.70327,0.44227,1.20973,0.5457,1.14429,0.001832,0.001832,0.001832
34,26984.4,1.12028,0.62229,1.12966,0.69932,0.70167,0.70648,0.4479,1.20696,0.54435,1.14342,0.001733,0.001733,0.001733
35,27800.2,1.11175,0.61494,1.12384,0.72841,0.68323,0.70916,0.44667,1.20574,0.54115,1.14394,0.001634,0.001634,0.001634
36,28572,1.11061,0.61329,1.12624,0.70258,0.71336,0.71115,0.45033,1.20444,0.53946,1.14227,0.001535,0.001535,0.001535
37,29336.2,1.10631,0.60655,1.11964,0.69531,0.72558,0.71131,0.45099,1.20429,0.5327,1.14325,0.001436,0.001436,0.001436
38,30095.4,1.0956,0.59653,1.11623,0.70852,0.71634,0.71399,0.45047,1.20669,0.53075,1.14359,0.001337,0.001337,0.001337
39,30873.3,1.09669,0.59303,1.11687,0.74424,0.69017,0.71946,0.45193,1.20562,0.53008,1.14535,0.001238,0.001238,0.001238
40,31694.6,1.08952,0.58813,1.11344,0.75314,0.69638,0.71923,0.45416,1.20617,0.52963,1.14565,0.001139,0.001139,0.001139
41,32559.3,1.0669,0.51489,1.12398,0.73872,0.71833,0.72255,0.4554,1.20669,0.53075,1.14905,0.00104,0.00104,0.00104
42,33369.3,1.05851,0.50468,1.11541,0.74507,0.72949,0.72415,0.45623,1.20889,0.53017,1.14857,0.000941,0.000941,0.000941
43,34179.3,1.04961,0.49792,1.10958,0.74388,0.72154,0.72605,0.45596,1.21022,0.52757,1.14871,0.000842,0.000842,0.000842
44,34984.5,1.04505,0.49328,1.1066,0.73167,0.72109,0.72125,0.45294,1.21121,0.52679,1.14952,0.000743,0.000743,0.000743
45,35790.5,1.03607,0.48384,1.104,0.71944,0.72367,0.71879,0.4508,1.2125,0.52653,1.15053,0.000644,0.000644,0.000644
46,36594,1.03206,0.47596,1.10193,0.71615,0.71256,0.71903,0.44883,1.21364,0.52669,1.15161,0.000545,0.000545,0.000545
47,37407.7,1.02516,0.47421,1.0964,0.72299,0.70942,0.716,0.44852,1.21391,0.52623,1.15315,0.000446,0.000446,0.000446
