epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,842.359,1.52553,1.66203,1.29419,0.82098,0.39066,0.42753,0.24155,1.39067,0.91618,1.16176,0.0683411,0.00166626,0.00166626
2,1605.72,1.35886,1.00015,1.16659,0.62055,0.45027,0.45754,0.26316,1.35916,0.86883,1.13099,0.0366085,0.00326693,0.00326693
3,2365.02,1.3589,0.9924,1.16217,0.4518,0.5111,0.48804,0.27933,1.34155,0.8524,1.13906,0.0048098,0.00480161,0.00480161
4,3138.81,1.35798,0.97718,1.16242,0.61172,0.49459,0.49481,0.282,1.31937,0.82269,1.11083,0.004703,0.004703,0.004703
5,3904.97,1.33283,0.93031,1.1477,0.65365,0.50418,0.53739,0.3048,1.28989,0.81519,1.10991,0.004604,0.004604,0.004604
6,4664.85,1.31259,0.90259,1.14024,0.70023,0.54252,0.56452,0.31619,1.2867,0.77288,1.11124,0.004505,0.004505,0.004505
7,5473.22,1.29469,0.87417,1.13393,0.68875,0.53965,0.5622,0.32298,1.27366,0.76362,1.10712,0.004406,0.004406,0.004406
8,6275.43,1.28136,0.85406,1.13157,0.70915,0.52779,0.56985,0.33106,1.25541,0.74267,1.10097,0.004307,0.004307,0.004307
9,7063.15,1.26629,0.83902,1.1236,0.597,0.54259,0.56943,0.33683,1.24704,0.72157,1.09183,0.004208,0.004208,0.004208
10,7876.71,1.26036,0.83344,1.1235,0.69888,0.56353,0.59564,0.35448,1.23194,0.71532,1.08907,0.004109,0.004109,0.004109
11,8670.02,1.2503,0.8111,1.11428,0.8052,0.5682,0.62008,0.3621,1.24332,0.69671,1.09877,0.00401,0.00401,0.00401
12,9459.86,1.24027,0.80195,1.11375,0.61517,0.65347,0.6452,0.36989,1.22865,0.68149,1.09027,0.003911,0.003911,0.003911
13,10250.1,1.22775,0.78397,1.10783,0.67144,0.62888,0.62465,0.36344,1.22132,0.67312,1.0817,0.003812,0.003812,0.003812
14,11104.1,1.23413,0.77956,1.10779,0.64308,0.63932,0.63339,0.38857,1.20618,0.67548,1.07687,0.003713,0.003713,0.003713
15,11941.5,1.22118,0.76754,1.10516,0.67717,0.61429,0.64346,0.38119,1.21865,0.66386,1.08195,0.003614,0.003614,0.003614
16,12800.5,1.21721,0.76142,1.10228,0.56509,0.59756,0.62668,0.38129,1.20712,0.65907,1.08062,0.003515,0.003515,0.003515
17,13564.8,1.21107,0.75202,1.10195,0.75473,0.55695,0.6378,0.38758,1.20843,0.65024,1.0832,0.003416,0.003416,0.003416
18,14314.3,1.20148,0.74698,1.0935,0.70833,0.62618,0.65982,0.39232,1.20013,0.6441,1.07536,0.003317,0.003317,0.003317
19,15064.7,1.1967,0.73977,1.09303,0.65163,0.62937,0.64374,0.39373,1.2049,0.63404,1.07563,0.003218,0.003218,0.003218
20,15814.5,1.19289,0.73328,1.09278,0.72614,0.608,0.6496,0.39891,1.19992,0.63259,1.08332,0.003119,0.003119,0.003119
21,16597.3,1.18344,0.72385,1.08858,0.61767,0.66284,0.67109,0.4199,1.18696,0.62926,1.07311,0.00302,0.00302,0.00302
22,17349.8,1.18488,0.72211,1.09106,0.64621,0.65658,0.67057,0.41151,1.19073,0.62078,1.07376,0.002921,0.002921,0.002921
23,18096.4,1.17817,0.71732,1.08647,0.71209,0.65431,0.67997,0.41806,1.19005,0.61556,1.07115,0.002822,0.002822,0.002822
24,18879.6,1.17336,0.70758,1.08442,0.67111,0.6824,0.68175,0.42403,1.17908,0.61475,1.06925,0.002723,0.002723,0.002723
25,19635.9,1.16878,0.70612,1.08279,0.73214,0.62991,0.67343,0.41323,1.17944,0.61347,1.06945,0.002624,0.002624,0.002624
26,20478.3,1.16518,0.69326,1.08037,0.73131,0.65132,0.68011,0.42258,1.1778,0.60695,1.06972,0.002525,0.002525,0.002525
27,21298.8,1.15456,0.68652,1.0754,0.66376,0.65719,0.67813,0.42825,1.17907,0.6007,1.06649,0.002426,0.002426,0.002426
28,22097.5,1.15527,0.6849,1.07744,0.67161,0.65996,0.67669,0.42312,1.18441,0.59719,1.06931,0.002327,0.002327,0.002327
29,22904.3,1.14753,0.67923,1.07405,0.70433,0.67548,0.68862,0.4311,1.18097,0.59773,1.06888,0.002228,0.002228,0.002228
30,23684.5,1.14105,0.67136,1.07141,0.71326,0.63614,0.68945,0.4368,1.17227,0.59321,1.06419,0.002129,0.002129,0.002129
31,24425.9,1.13709,0.66355,1.06958,0.69083,0.66775,0.69763,0.43834,1.17582,0.58855,1.06627,0.00203,0.00203,0.00203
32,25165.2,1.14006,0.66718,1.07127,0.70386,0.6444,0.68869,0.43439,1.17726,0.587,1.06653,0.001931,0.001931,0.001931
33,25908.9,1.13158,0.65473,1.06472,0.71597,0.6567,0.69347,0.44311,1.17673,0.58059,1.0642,0.001832,0.001832,0.001832
34,26653.7,1.13044,0.64983,1.06481,0.65877,0.69062,0.68544,0.43756,1.1756,0.5805,1.06579,0.001733,0.001733,0.001733
35,27399.9,1.12061,0.64391,1.05684,0.68904,0.6675,0.70182,0.4424,1.17737,0.57804,1.06242,0.001634,0.001634,0.001634
36,28132.4,1.12102,0.64107,1.06261,0.7382,0.6848,0.71082,0.44358,1.17838,0.57651,1.06411,0.001535,0.001535,0.001535
37,28873.8,1.11762,0.63815,1.05641,0.76688,0.66838,0.72172,0.45507,1.17398,0.5716,1.06336,0.001436,0.001436,0.001436
38,29615.9,1.10329,0.62849,1.05176,0.73309,0.69378,0.71785,0.45383,1.174,0.57105,1.06503,0.001337,0.001337,0.001337
39,30379,1.10892,0.62698,1.05338,0.68567,0.71488,0.71685,0.45786,1.17262,0.57019,1.06445,0.001238,0.001238,0.001238
40,31131.7,1.09936,0.61856,1.05017,0.71146,0.71832,0.72345,0.45841,1.17062,0.56674,1.06314,0.001139,0.001139,0.001139
41,31919.9,1.07817,0.55575,1.05142,0.78341,0.67204,0.72349,0.46162,1.16874,0.56981,1.06382,0.00104,0.00104,0.00104
42,32655.6,1.07046,0.54714,1.04697,0.73642,0.69876,0.7269,0.46191,1.17058,0.56922,1.0655,0.000941,0.000941,0.000941
43,33405.9,1.0608,0.53722,1.04291,0.7371,0.71026,0.73166,0.46113,1.17191,0.5699,1.06589,0.000842,0.000842,0.000842
44,34134.6,1.05419,0.53337,1.03917,0.77598,0.69074,0.7335,0.46247,1.17227,0.56787,1.06517,0.000743,0.000743,0.000743
45,34862,1.04721,0.52504,1.03778,0.73242,0.70687,0.72918,0.4593,1.17293,0.56579,1.06548,0.000644,0.000644,0.000644
46,35585,1.04341,0.51748,1.03607,0.7491,0.70537,0.7264,0.46182,1.17466,0.56324,1.06707,0.000545,0.000545,0.000545
47,36437.4,1.03798,0.51199,1.03208,0.72187,0.70728,0.71973,0.45887,1.17524,0.56114,1.06814,0.000446,0.000446,0.000446
48,37232.5,1.02688,0.50356,1.03107,0.71283,0.69868,0.71384,0.45712,1.17534,0.55938,1.06894,0.000347,0.000347,0.000347
49,38027,1.02549,0.49907,1.02701,0.72647,0.7011,0.71303,0.45639,1.17604,0.55856,1.06955,0.000248,0.000248,0.000248
50,38850.3,1.01488,0.49175,1.0228,0.72094,0.70747,0.71671,0.4588,1.17655,0.55725,1.06988,0.000149,0.000149,0.000149
