epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,690.047,1.49076,1.89529,1.36622,0.82551,0.36239,0.40579,0.25018,1.41349,0.98195,1.29107,0.00333169,0.00333169,0.00333169
2,1335.63,1.35231,1.00061,1.25765,0.59043,0.39872,0.40148,0.22088,1.44908,1.00154,1.27241,0.00653306,0.00653306,0.00653306
3,1945.94,1.37059,1.01367,1.26416,0.66177,0.42082,0.4249,0.21402,1.45101,0.91469,1.30797,0.00960243,0.00960243,0.00960243
4,2543.71,1.37549,1.01591,1.27854,0.57334,0.47987,0.471,0.25478,1.4032,0.85113,1.25991,0.009406,0.009406,0.009406
5,3140.62,1.34297,0.95192,1.25804,0.73307,0.4336,0.4699,0.26144,1.4214,0.84771,1.27065,0.009208,0.009208,0.009208
6,3748,1.31715,0.91117,1.24561,0.66019,0.53483,0.53239,0.28814,1.35146,0.76818,1.23787,0.00901,0.00901,0.00901
7,4350.07,1.30127,0.8777,1.23536,0.56766,0.55268,0.53178,0.30251,1.31741,0.75168,1.22011,0.008812,0.008812,0.008812
8,4946.81,1.2876,0.8562,1.2272,0.49352,0.56403,0.55338,0.30773,1.31512,0.7186,1.21611,0.008614,0.008614,0.008614
9,5541.79,1.27702,0.83887,1.22433,0.80142,0.47095,0.53966,0.31312,1.32824,0.71014,1.22193,0.008416,0.008416,0.008416
10,6137.17,1.26315,0.83033,1.21409,0.81325,0.54318,0.56504,0.33163,1.29327,0.69952,1.19615,0.008218,0.008218,0.008218
11,6732.15,1.25431,0.81105,1.2079,0.57796,0.58825,0.5958,0.33596,1.31143,0.69201,1.21525,0.00802,0.00802,0.00802
12,7330.86,1.24647,0.79718,1.20122,0.54902,0.58379,0.58365,0.33079,1.28552,0.68196,1.19967,0.007822,0.007822,0.007822
13,7925.92,1.23547,0.77612,1.19707,0.64917,0.58347,0.61808,0.35795,1.29563,0.65916,1.19772,0.007624,0.007624,0.007624
14,8525.5,1.22815,0.76884,1.19345,0.7191,0.57861,0.61071,0.35465,1.26424,0.65358,1.18812,0.007426,0.007426,0.007426
15,9122.91,1.22132,0.75998,1.19204,0.60946,0.625,0.63031,0.36655,1.25748,0.6602,1.18714,0.007228,0.007228,0.007228
16,9723.1,1.21614,0.75493,1.18502,0.61211,0.6142,0.62536,0.37498,1.25294,0.63481,1.18126,0.00703,0.00703,0.00703
17,10318.4,1.2085,0.74013,1.18262,0.66101,0.5612,0.62645,0.37169,1.2707,0.62958,1.1856,0.006832,0.006832,0.006832
18,10913.5,1.20672,0.72983,1.17799,0.72414,0.65367,0.65965,0.38886,1.24724,0.62131,1.17339,0.006634,0.006634,0.006634
19,11515.6,1.19768,0.72521,1.17349,0.57927,0.62987,0.63991,0.38794,1.23718,0.61983,1.17084,0.006436,0.006436,0.006436
20,12113.6,1.18896,0.71731,1.1673,0.63743,0.64243,0.65213,0.39432,1.2487,0.61162,1.17433,0.006238,0.006238,0.006238
21,12710.2,1.18697,0.71155,1.16884,0.67445,0.64721,0.65767,0.40515,1.23768,0.60491,1.16432,0.00604,0.00604,0.00604
22,13325.6,1.18572,0.7045,1.16811,0.67075,0.66342,0.6721,0.407,1.23977,0.60084,1.17053,0.005842,0.005842,0.005842
23,13923.4,1.18132,0.698,1.16546,0.61902,0.61787,0.65688,0.4015,1.24287,0.58434,1.16841,0.005644,0.005644,0.005644
24,14512.7,1.17677,0.69044,1.16402,0.71137,0.60396,0.6489,0.40598,1.22794,0.58365,1.16377,0.005446,0.005446,0.005446
25,15107.9,1.16867,0.68183,1.15674,0.6343,0.66339,0.66683,0.41127,1.22746,0.57995,1.1624,0.005248,0.005248,0.005248
26,15701.8,1.16495,0.6773,1.15553,0.65562,0.67337,0.68743,0.4238,1.22878,0.57241,1.16025,0.00505,0.00505,0.00505
27,16301.1,1.15808,0.67034,1.154,0.67088,0.65756,0.67396,0.42646,1.22694,0.57074,1.16456,0.004852,0.004852,0.004852
28,16895.9,1.15258,0.66369,1.15071,0.6391,0.70033,0.69668,0.4408,1.22262,0.56823,1.15762,0.004654,0.004654,0.004654
29,17490.4,1.14619,0.65189,1.14435,0.67158,0.67229,0.67734,0.42,1.228,0.56218,1.16458,0.004456,0.004456,0.004456
30,18084.1,1.14373,0.65512,1.14706,0.64899,0.69411,0.68555,0.42791,1.22155,0.56226,1.16262,0.004258,0.004258,0.004258
31,18678.3,1.135,0.64298,1.13881,0.73541,0.65005,0.69234,0.43385,1.21769,0.55826,1.15748,0.00406,0.00406,0.00406
32,19270,1.13257,0.63915,1.14113,0.72074,0.67971,0.70888,0.44585,1.22192,0.5516,1.15888,0.003862,0.003862,0.003862
33,19867.6,1.13145,0.63316,1.13818,0.70918,0.69353,0.71342,0.44851,1.21967,0.54733,1.15962,0.003664,0.003664,0.003664
34,20464.6,1.1265,0.62913,1.13899,0.76322,0.65421,0.70192,0.44471,1.21641,0.54757,1.16005,0.003466,0.003466,0.003466
35,21067.3,1.11874,0.62378,1.13093,0.73664,0.65024,0.70804,0.44681,1.21443,0.54696,1.1575,0.003268,0.003268,0.003268
36,21666.1,1.11364,0.61522,1.13084,0.6747,0.70719,0.70842,0.44656,1.21475,0.54132,1.15642,0.00307,0.00307,0.00307
37,22255.6,1.11209,0.60858,1.12647,0.70739,0.6513,0.70213,0.44328,1.21622,0.53797,1.15748,0.002872,0.002872,0.002872
38,22835.9,1.10572,0.60485,1.12359,0.72382,0.67551,0.70965,0.44866,1.21409,0.54021,1.1548,0.002674,0.002674,0.002674
39,23409.9,1.09885,0.59685,1.11916,0.70496,0.66888,0.7036,0.4475,1.21552,0.53871,1.15657,0.002476,0.002476,0.002476
40,23983.8,1.09448,0.59463,1.11907,0.6758,0.69202,0.70683,0.45029,1.2167,0.53814,1.15597,0.002278,0.002278,0.002278
41,24597.8,1.07668,0.52105,1.13834,0.72288,0.67316,0.714,0.45345,1.21834,0.53778,1.15625,0.00208,0.00208,0.00208
42,25169.1,1.06717,0.51263,1.12615,0.71482,0.68357,0.70808,0.45105,1.21734,0.53674,1.1546,0.001882,0.001882,0.001882
43,25739.5,1.05906,0.50838,1.12383,0.70666,0.68054,0.71,0.45268,1.21765,0.53618,1.15647,0.001684,0.001684,0.001684
44,26315.9,1.05381,0.5002,1.11806,0.68684,0.68417,0.70338,0.44676,1.21953,0.53518,1.15712,0.001486,0.001486,0.001486
45,26896.6,1.0467,0.49292,1.11677,0.68367,0.70051,0.70272,0.44719,1.22011,0.53556,1.15795,0.001288,0.001288,0.001288
46,27468.8,1.03741,0.4837,1.11133,0.66305,0.72372,0.70604,0.44925,1.22149,0.53443,1.16062,0.00109,0.00109,0.00109
47,28040.4,1.03511,0.47925,1.10892,0.67067,0.71439,0.70994,0.45195,1.22151,0.53372,1.16149,0.000892,0.000892,0.000892
48,28612.4,1.02326,0.47088,1.10396,0.67358,0.71378,0.70738,0.45469,1.22052,0.53238,1.16059,0.000694,0.000694,0.000694
49,29183,1.01654,0.46393,1.09981,0.68158,0.71196,0.70769,0.45541,1.22163,0.53138,1.1617,0.000496,0.000496,0.000496
50,29755,1.00756,0.45763,1.09398,0.67959,0.71764,0.70687,0.45576,1.22316,0.53168,1.16293,0.000298,0.000298,0.000298
