epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.701,1.54,1.80002,1.28831,0.77477,0.25236,0.29586,0.16474,1.41773,1.04509,1.19916,0.000256089,0.000256089,0.000256089
2,568.08,1.40479,1.08308,1.2166,0.69745,0.26688,0.31181,0.16878,1.39975,0.97565,1.20852,0.000502277,0.000502277,0.000502277
3,840.293,1.39252,1.04388,1.21905,0.63167,0.29991,0.34138,0.18057,1.38481,0.87447,1.18926,0.000738313,0.000738313,0.000738313
4,1108.59,1.3697,0.98779,1.20328,0.67329,0.34977,0.35661,0.18812,1.42504,0.88025,1.20222,0.000723321,0.000723321,0.000723321
5,1379.93,1.33215,0.94124,1.18003,0.7091,0.3243,0.35171,0.19409,1.37364,0.85187,1.18223,0.000708095,0.000708095,0.000708095
6,1648.37,1.32359,0.91935,1.17346,0.64988,0.3284,0.3619,0.19927,1.33903,0.86214,1.16769,0.000692869,0.000692869,0.000692869
7,1914.51,1.30328,0.88641,1.16413,0.60533,0.33842,0.37556,0.21152,1.3243,0.82936,1.14198,0.000677643,0.000677643,0.000677643
8,2187.54,1.28527,0.87086,1.14713,0.56013,0.45534,0.41329,0.23101,1.3257,0.83075,1.14875,0.000662417,0.000662417,0.000662417
9,2448.34,1.27499,0.85414,1.15044,0.50254,0.42421,0.41262,0.2227,1.32707,0.77055,1.14493,0.00064719,0.00064719,0.00064719
10,2711.19,1.27129,0.83911,1.14295,0.5315,0.35185,0.39424,0.2211,1.30204,0.78079,1.13388,0.000631964,0.000631964,0.000631964
11,2963.43,1.2554,0.81882,1.13429,0.5567,0.34788,0.4099,0.23497,1.30218,0.75452,1.13739,0.000616738,0.000616738,0.000616738
12,3217.99,1.24781,0.8094,1.12985,0.50636,0.40917,0.43259,0.24346,1.2983,0.74777,1.13062,0.000601512,0.000601512,0.000601512
13,3475.66,1.24582,0.80002,1.13169,0.59119,0.41271,0.43785,0.2568,1.27205,0.74607,1.12427,0.000586286,0.000586286,0.000586286
14,3718.82,1.23732,0.7952,1.12736,0.49884,0.43432,0.41725,0.24026,1.28808,0.75331,1.12844,0.000571059,0.000571059,0.000571059
15,3956.9,1.22385,0.7725,1.11805,0.64985,0.4314,0.43696,0.24687,1.27758,0.72033,1.12184,0.000555833,0.000555833,0.000555833
16,4198.47,1.22369,0.76777,1.11878,0.56774,0.42058,0.45332,0.26241,1.26946,0.6989,1.1199,0.000540607,0.000540607,0.000540607
17,4450.46,1.2225,0.76784,1.11514,0.54263,0.47499,0.45677,0.2589,1.27763,0.70038,1.12179,0.000525381,0.000525381,0.000525381
18,4699.01,1.21052,0.74816,1.1111,0.6436,0.4344,0.47471,0.27243,1.26333,0.68626,1.11468,0.000510155,0.000510155,0.000510155
19,4944.48,1.19737,0.74357,1.10555,0.59596,0.47095,0.48062,0.27963,1.27289,0.68794,1.11047,0.000494928,0.000494928,0.000494928
20,5189.61,1.19711,0.73936,1.11002,0.51441,0.47574,0.49249,0.29523,1.25256,0.66711,1.10914,0.000479702,0.000479702,0.000479702
21,5425.66,1.19198,0.72929,1.1054,0.60029,0.47625,0.47129,0.28086,1.25161,0.6704,1.11867,0.000464476,0.000464476,0.000464476
22,5642.86,1.18188,0.7178,1.0994,0.49286,0.49615,0.493,0.28528,1.25534,0.66252,1.11271,0.00044925,0.00044925,0.00044925
23,5856.12,1.17672,0.71026,1.09592,0.61986,0.49746,0.50539,0.29857,1.26585,0.65893,1.1111,0.000434024,0.000434024,0.000434024
24,6067.43,1.17186,0.70119,1.09208,0.45826,0.48498,0.48546,0.28333,1.27685,0.65788,1.11149,0.000418797,0.000418797,0.000418797
25,6279.41,1.17091,0.69784,1.09358,0.53161,0.47463,0.49339,0.29499,1.25874,0.65587,1.11356,0.000403571,0.000403571,0.000403571
26,6487.66,1.16358,0.69389,1.08937,0.50526,0.48743,0.49726,0.29471,1.248,0.65828,1.10691,0.000388345,0.000388345,0.000388345
27,6697.53,1.1613,0.68344,1.08558,0.50953,0.5101,0.51559,0.31363,1.24665,0.64025,1.1094,0.000373119,0.000373119,0.000373119
28,6913.67,1.15562,0.68195,1.08635,0.53442,0.50231,0.52048,0.30946,1.23629,0.63071,1.10155,0.000357893,0.000357893,0.000357893
29,7127.26,1.15245,0.67059,1.08551,0.49029,0.52906,0.52236,0.31903,1.23551,0.62842,1.10461,0.000342666,0.000342666,0.000342666
30,7387.3,1.14081,0.66644,1.08136,0.47296,0.51761,0.50242,0.30154,1.25031,0.625,1.1093,0.00032744,0.00032744,0.00032744
31,7608.26,1.13724,0.65778,1.07623,0.53092,0.50884,0.52982,0.3205,1.24298,0.62465,1.10935,0.000312214,0.000312214,0.000312214
32,7826.26,1.12776,0.65507,1.07971,0.47935,0.53085,0.52214,0.31419,1.2336,0.6192,1.10714,0.000296988,0.000296988,0.000296988
33,8040.19,1.11776,0.64699,1.06768,0.64796,0.52767,0.52492,0.31824,1.23495,0.61816,1.11043,0.000281762,0.000281762,0.000281762
34,8253.34,1.11957,0.63739,1.06599,0.52135,0.51963,0.52585,0.32088,1.23819,0.6083,1.10904,0.000266535,0.000266535,0.000266535
35,8465.23,1.11863,0.63422,1.06825,0.52157,0.51193,0.51559,0.31753,1.22945,0.61147,1.10633,0.000251309,0.000251309,0.000251309
36,8679.16,1.10851,0.62635,1.06376,0.69459,0.49697,0.5279,0.3199,1.23791,0.60448,1.10594,0.000236083,0.000236083,0.000236083
37,8892,1.10297,0.61828,1.05915,0.50179,0.5146,0.52248,0.32111,1.23767,0.60324,1.10972,0.000220857,0.000220857,0.000220857
38,9103.16,1.09552,0.6205,1.05787,0.49561,0.51761,0.52964,0.32712,1.22898,0.60165,1.10725,0.000205631,0.000205631,0.000205631
39,9316.47,1.08919,0.61308,1.05563,0.52583,0.53362,0.53065,0.32506,1.2367,0.59882,1.10923,0.000190404,0.000190404,0.000190404
40,9529.85,1.09023,0.60231,1.05097,0.59678,0.48387,0.54112,0.33297,1.2283,0.59229,1.10249,0.000175178,0.000175178,0.000175178
41,9777.91,1.06831,0.54446,1.0572,0.68215,0.50789,0.53358,0.32781,1.23657,0.59899,1.10604,0.000159952,0.000159952,0.000159952
42,9988.76,1.05419,0.53043,1.05113,0.52148,0.52717,0.5274,0.3251,1.24193,0.59327,1.1123,0.000144726,0.000144726,0.000144726
43,10201.7,1.04497,0.52377,1.04643,0.65982,0.51243,0.52317,0.32249,1.23719,0.59412,1.11187,0.0001295,0.0001295,0.0001295
44,10414.9,1.04173,0.51806,1.0419,0.66408,0.50965,0.52855,0.32239,1.23493,0.59233,1.11156,0.000114273,0.000114273,0.000114273
45,10626.4,1.03329,0.5075,1.03833,0.64861,0.52032,0.53646,0.32777,1.23598,0.59319,1.10856,9.90472e-05,9.90472e-05,9.90472e-05
46,10846.5,1.02222,0.50365,1.03538,0.65586,0.53087,0.533,0.32912,1.23569,0.59085,1.11146,8.3821e-05,8.3821e-05,8.3821e-05
47,11057.9,1.02082,0.49785,1.03321,0.536,0.53038,0.53514,0.33124,1.23819,0.58661,1.11292,6.85948e-05,6.85948e-05,6.85948e-05
48,11270.6,1.00765,0.49129,1.02994,0.53701,0.52951,0.53393,0.33224,1.2406,0.58409,1.11462,5.33686e-05,5.33686e-05,5.33686e-05
49,11482.4,1.00276,0.48432,1.02517,0.66589,0.52315,0.53865,0.33346,1.23584,0.58593,1.11416,3.81424e-05,3.81424e-05,3.81424e-05
50,11694.6,0.99761,0.48126,1.02336,0.63123,0.53783,0.53946,0.33323,1.23574,0.58311,1.11458,2.29162e-05,2.29162e-05,2.29162e-05
